iso1,iso2,dist
JPN,MHL,75.89
JPN,PRK,66.31
KAZ,KGZ,16.03
KAZ,MNG,61.81
KAZ,RUS,47.42
KAZ,UZB,23.71
KEN,MOZ,29.83
KEN,SDN,27.80
KEN,SOM,31.30
KEN,TZA,24.08
KEN,UGA,21.02
KGZ,TJK,15.23
KGZ,UZB,13.00
KHM,MYS,29.41
KHM,PHL,45.10
KHM,SGP,32.02
KHM,THA,14.21
KHM,VNM,25.18
KHM,NBO,35.85
KIR,MHL,38.08
KIR,NRU,41.00
KIR,TUV,39.70
KIR,WSM,45.31
KNA,VGB,9.90
KNA,VIR,7.07
KOR,PRK,24.60
KOR,TWN,65.79
KWT,QAT,8.06
KWT,SAU,11.40
KWT,SYR,12.37
LAO,MMR,15.65
LAO,THA,11.00
LAO,VNM,6.71
LBN,PSX,13.89
LBN,SAU,17.46
LBN,SYR,9.90
LBR,MLI,18.03
LBR,NAM,91.27
LBR,SLE,9.43
LBR,STP,55.08
LBR,URY,149.00
LBR,ZAF,109.79
LBY,MLT,12.73
LBY,NER,21.38
LBY,SDN,26.02
LBY,TCD,8.06
LCA,VCT,5.83
LIE,SMR,35.51
LIE,SVN,28.07
DEU,LIE,50.04
LIE,SAA,36.12
LKA,MDV,20.52
LKA,MMR,46.01
LKA,MYS,50.54
LKA,OMN,50.77
LKA,THA,47.76
LSO,MDG,52.00
LSO,SWZ,11.31
LSO,ZAF,10.44
LTU,LVA,10.00
LTU,POL,22.47
DEU,LUX,39.82
LUX,SAA,9.85
LVA,POL,29.07
MAR,MCO,45.49
MAR,MLI,23.43
MAR,MRT,11.70
MAR,SEN,16.28
MCO,TUN,35.17
MDA,ROU,24.41
MDA,SVK,54.56
MDA,TUR,46.32
MDA,UKR,21.93
MDG,MOZ,29.73
MDG,MUS,35.01
MDG,SWZ,41.76
MDG,SYC,50.33
MDV,MUS,103.45
MDV,MYS,60.67
MDV,OMN,49.65
MDV,QAT,47.42
MDV,SYC,73.55
MDV,YMD,50.04
MEX,USA,53.08
MHL,NRU,24.52
MKD,MNE,14.56
MKD,SRB,25.08
MLI,MRT,14.56
MLT,NER,17.69
MLT,TUN,28.00
MMR,THA,22.80
MMR,VNM,20.40
MNE,SMR,27.29
MNE,SRB,26.40
MNG,PRK,52.01
MNG,RUS,98.49
MOZ,MWI,9.22
MOZ,SWZ,25.06
MOZ,TZA,14.21
MOZ,ZWE,18.38
MRT,SEN,16.00
MUS,MYS,137.41
MUS,SYC,39.05
MWI,TZA,9.00
MWI,ZMB,16.03
MWI,ZWE,12.04
MYS,SGP,10.77
MYS,THA,39.00
NAM,STP,41.62
NAM,ZAF,24.52
NER,NGA,8.25
NER,TUN,20.62
NGA,STP,15.00
NIC,SLV,15.81
NLD,NOR,57.31
DEU,NLD,49.50
NOR,SWE,23.54
NPL,PAK,18.97
NPL,TJK,32.65
NRU,PLW,47.38
NRU,SLB,24.17
NRU,TUV,25.24
NZL,TON,58.19
OMN,PAK,36.24
OMN,QAT,25.81
PER,VEN,20.81
PHL,PLW,41.76
PHL,TWN,20.40
NBO,PHL,25.24
PLW,PNG,39.82
PLW,SLB,46.40
PLW,TLS,57.78
PLW,TWN,54.41
NBO,PLW,54.74
PNG,SLB,19.31
PNG,TLS,45.69
PNG,VUT,29.55
POL,SVK,26.00
POL,SWE,51.61
DDR,POL,30.07
PRI,VGB,8.49
PRI,VIR,6.32
PRY,URY,16.12
PSX,YEM,15.00
QAT,SAU,12.21
QAT,YMD,23.09
ROU,SRB,38.95
ROU,SVK,47.80
ROU,TUR,43.84
RUS,UKR,50.12
RWA,TZA,14.21
RWA,UGA,10.00
SAU,SYR,16.64
SAU,YEM,17.80
SAU,YMD,15.30
SDN,TCD,22.80
SDN,UGA,23.35
NBO,SGP,33.11
SLB,TUV,24.02
SLB,VUT,21.02
SLE,URY,143.39
SMR,SVN,29.41
SOM,SYC,30.02
STP,TGO,28.84
SUR,TTO,19.70
DDR,SWE,40.00
SWZ,ZWE,15.81
SYC,YMD,49.09
SYR,TUR,18.38
THA,VNM,15.23
TJK,TKM,13.15
TJK,UZB,10.82
TKM,UZB,13.04
TTO,VEN,15.00
TUV,VUT,25.00
TUV,WSM,15.00
TZA,UGA,17.72
NFL,USA,62.13
VGB,VIR,8.00
VUT,WSM,25.30
YEM,YMD,14.04
ZMB,ZWE,11.31
DDR,DEU,41.73
DEU,SAA,34.71
